"","test_year","npredictors","region","brier_score"
"525",2013,2,9,0.1119
"526",2013,2,10,0.0955
"527",2013,2,11,0.09
"528",2013,2,12,0.083
"529",2013,3,1,0.0786
"530",2013,3,2,0.0676
"531",2013,3,3,0.1285
"532",2013,3,4,0.0763
"533",2013,3,5,0.1255
"534",2013,3,6,0.1023
"535",2013,3,7,0.0872
"536",2013,3,8,0.1167
"537",2013,3,9,0.1067
"538",2013,3,10,0.0962
"539",2013,3,11,0.0746
"540",2013,3,12,0.0674
"541",2013,4,1,0.0818
"542",2013,4,2,0.0652
"543",2013,4,3,0.1265
"544",2013,4,4,0.0729
"545",2013,4,5,0.1184
"546",2013,4,6,0.1007
"547",2013,4,7,0.0866
"548",2013,4,8,0.1116
"549",2013,4,9,0.1014
"550",2013,4,10,0.0925
"551",2013,4,11,0.0723
"552",2013,4,12,0.0679
"553",2013,5,1,0.0778
"554",2013,5,2,0.066
"555",2013,5,3,0.1299
"556",2013,5,4,0.0714
"557",2013,5,5,0.1217
"558",2013,5,6,0.1014
"559",2013,5,7,0.0859
"560",2013,5,8,0.1115
"561",2013,5,9,0.1033
"562",2013,5,10,0.0915
"563",2013,5,11,0.0693
"564",2013,5,12,0.0667
"565",2013,6,1,0.0772
"566",2013,6,2,0.0675
"567",2013,6,3,0.128
"568",2013,6,4,0.0696
"569",2013,6,5,0.1184
"570",2013,6,6,0.1006
"571",2013,6,7,0.0874
"572",2013,6,8,0.1096
"573",2013,6,9,0.0995
"574",2013,6,10,0.0922
"575",2013,6,11,0.0653
"576",2013,6,12,0.0659
"577",2013,1,1,0.0383
"578",2013,1,2,0.1079
"579",2013,1,3,0.1218
"580",2013,1,4,0.0976
"581",2013,1,5,0.1515
"582",2013,1,6,0.1148
"583",2013,1,7,0.1005
"584",2013,1,8,0.1355
"585",2013,1,9,0.0979
"586",2013,1,10,0.0757
"587",2013,1,11,0.1442
"588",2013,1,12,0.1352
"589",2013,2,1,0.0473
"590",2013,2,2,0.094
"591",2013,2,3,0.1204
"592",2013,2,4,0.0855
"593",2013,2,5,0.1187
"594",2013,2,6,0.1121
"595",2013,2,7,0.0901
"596",2013,2,8,0.1196
"597",2013,2,9,0.089
"598",2013,2,10,0.0766
"599",2013,2,11,0.1387
"600",2013,2,12,0.1232
"601",2013,3,1,0.054
"602",2013,3,2,0.0918
"603",2013,3,3,0.1186
"604",2013,3,4,0.078
"605",2013,3,5,0.1153
"606",2013,3,6,0.1117
"607",2013,3,7,0.0801
"608",2013,3,8,0.1058
"609",2013,3,9,0.0848
"610",2013,3,10,0.0734
"611",2013,3,11,0.1344
"612",2013,3,12,0.1133
"613",2013,4,1,0.0609
"614",2013,4,2,0.0942
"615",2013,4,3,0.1063
"616",2013,4,4,0.0863
"617",2013,4,5,0.1147
"618",2013,4,6,0.1035
"619",2013,4,7,0.0731
"620",2013,4,8,0.0991
"621",2013,4,9,0.0853
"622",2013,4,10,0.0731
"623",2013,4,11,0.133
"624",2013,4,12,0.1126
"625",2013,5,1,0.0594
"626",2013,5,2,0.0929
"627",2013,5,3,0.1054
"628",2013,5,4,0.0852
"629",2013,5,5,0.11
"630",2013,5,6,0.1029
"631",2013,5,7,0.0692
"632",2013,5,8,0.0957
"633",2013,5,9,0.0853
"634",2013,5,10,0.0727
"635",2013,5,11,0.1335
"636",2013,5,12,0.1126
"637",2013,6,1,0.0661
"638",2013,6,2,0.0882
"639",2013,6,3,0.1081
"640",2013,6,4,0.0857
"641",2013,6,5,0.1101
"642",2013,6,6,0.1002
"643",2013,6,7,0.0686
"644",2013,6,8,0.0899
"645",2013,6,9,0.089
"646",2013,6,10,0.0646
"647",2013,6,11,0.1317
"648",2013,6,12,0.1052
"649",2010,1,1,0.0628
"650",2010,1,2,0.0943
"651",2010,1,3,0.1299
"652",2010,1,4,0.0909
"653",2010,1,5,0.125
"654",2010,1,6,0.1229
"655",2010,1,7,0.0999
"656",2010,1,8,0.1387
"657",2010,1,9,0.1226
"658",2010,1,10,0.0874
"659",2010,1,11,0.1088
"660",2010,1,12,0.103
"661",2010,2,1,0.0518
"662",2010,2,2,0.0772
"663",2010,2,3,0.1114
"664",2010,2,4,0.0779
"665",2010,2,5,0.1071
"666",2010,2,6,0.1001
"667",2010,2,7,0.0808
"668",2010,2,8,0.1156
"669",2010,2,9,0.1065
"670",2010,2,10,0.0762
"671",2010,2,11,0.0981
"672",2010,2,12,0.0841
"673",2010,3,1,0.0566
"674",2010,3,2,0.0759
"675",2010,3,3,0.1079
"676",2010,3,4,0.076
"677",2010,3,5,0.102
"678",2010,3,6,0.095
"679",2010,3,7,0.0786
"680",2010,3,8,0.1106
"681",2010,3,9,0.0994
"682",2010,3,10,0.0734
"683",2010,3,11,0.0962
"684",2010,3,12,0.0747
"685",2010,4,1,0.0593
"686",2010,4,2,0.0755
"687",2010,4,3,0.1062
"688",2010,4,4,0.0787
"689",2010,4,5,0.1034
"690",2010,4,6,0.0955
"691",2010,4,7,0.0775
"692",2010,4,8,0.1056
"693",2010,4,9,0.0975
"694",2010,4,10,0.0659
"695",2010,4,11,0.0951
"696",2010,4,12,0.0716
"697",2010,5,1,0.0585
"698",2010,5,2,0.0755
"699",2010,5,3,0.1017
"700",2010,5,4,0.076
"701",2010,5,5,0.105
"702",2010,5,6,0.0945
"703",2010,5,7,0.0768
"704",2010,5,8,0.1094
"705",2010,5,9,0.103
"706",2010,5,10,0.0646
"707",2010,5,11,0.0934
"708",2010,5,12,0.0692
"709",2010,6,1,0.0628
"710",2010,6,2,0.073
"711",2010,6,3,0.0998
"712",2010,6,4,0.0721
"713",2010,6,5,0.1059
"714",2010,6,6,0.0986
"715",2010,6,7,0.0718
"716",2010,6,8,0.1088
"717",2010,6,9,0.1063
"718",2010,6,10,0.0646
"719",2010,6,11,0.0949
"720",2010,6,12,0.0721
"721",2011,1,1,0.0719
"722",2011,1,2,0.1055
"723",2011,1,3,0.1436
"724",2011,1,4,0.098
"725",2011,1,5,0.1383
"726",2011,1,6,0.1295
"727",2011,1,7,0.1191
"728",2011,1,8,0.1529
"729",2011,1,9,0.1284
"730",2011,1,10,0.1032
"731",2011,1,11,0.1225
"732",2011,1,12,0.1141
"733",2011,2,1,0.0506
"734",2011,2,2,0.0978
"735",2011,2,3,0.138
"736",2011,2,4,0.0823
"737",2011,2,5,0.1236
"738",2011,2,6,0.1162
"739",2011,2,7,0.1045
"740",2011,2,8,0.1366
"741",2011,2,9,0.1184
"742",2011,2,10,0.099
"743",2011,2,11,0.1092
"744",2011,2,12,0.1107
"745",2011,3,1,0.0541
"746",2011,3,2,0.0993
"747",2011,3,3,0.1363
"748",2011,3,4,0.0878
"749",2011,3,5,0.1195
"750",2011,3,6,0.1116
"751",2011,3,7,0.1044
"752",2011,3,8,0.1323
"753",2011,3,9,0.1165
"754",2011,3,10,0.0997
"755",2011,3,11,0.1116
"756",2011,3,12,0.1096
"757",2011,4,1,0.0548
"758",2011,4,2,0.0962
"759",2011,4,3,0.133
"760",2011,4,4,0.0828
"761",2011,4,5,0.116
"762",2011,4,6,0.1136
"763",2011,4,7,0.104
"764",2011,4,8,0.1267
"765",2011,4,9,0.1106
"766",2011,4,10,0.0936
"767",2011,4,11,0.1068
"768",2011,4,12,0.1061
"769",2011,5,1,0.0623
"770",2011,5,2,0.0976
"771",2011,5,3,0.1236
"772",2011,5,4,0.0868
"773",2011,5,5,0.1109
"774",2011,5,6,0.104
"775",2011,5,7,0.0993
"776",2011,5,8,0.1196
"777",2011,5,9,0.1049
"778",2011,5,10,0.0959
"779",2011,5,11,0.107
"780",2011,5,12,0.1067
"781",2011,6,1,0.0671
